Term,Definition,Type,Acronyms,synonyms,Tags,Link
Roles & Responsibilities,"Roles & Responsibilities is a matrix defining the roles and responsibilities of stakeholders/team members/associates within an organization to come to a clear split in responsibilities, role clarity and -with that- career mapping",fashion,,,,
Rolling LFL sales,"Rolling LFL sales is Sales in value like-for-like divided by sales of last year and/or target/budget in percentage, daily, weekly, monthly and year to date",fashion,,,,
Sales per sample (pcs),Sales per Sample is a measure for the sample efficiency and is the ratio of the total forward ordered pieces by the total amount of samples,fashion,,,,
Sales per Square Meters,Sales per Square Meters is the amount of sales taken per square meter in a store,fashion,,,,
Sales per Staff Hour,Sales per Staff Hour is the amount of sales taken for each staff hour that is worked,fashion,,,,
Sales vs. Ownership,,fashion,,,,
"Sales, General & Administration","Sales, General & Administration consist of the combined costs of operating the company,",fashion,,,,
Sample Distribution Center,"Dedicated distribution center to only handle the sales samples, and not the larger production quantities",fashion,,,,
Satellite Office,"Office in region, smaller than Hub office",fashion,,,,
Season to Date,Season to date is a term discribing the results at a particular time from the start of the current season,fashion,,,,
Seasonal,"Seasonal is an attribute for styles that are designed to be sold during a specific part of the year (season) and represent newness (prints/colors/shapes etc.) with trend drivers, representing essentials in seasonal colors in a mid-high price points",fashion,,,,
"See now, buy now","Different to our ""Buy now wear now"" concept, this concept refers to items that can be bought directly from the 'live' runway show",fashion,,,,
Sell through,"Products sold divided by products bought in percentage, monthly and vs. LY and/or target",fashion,,,,
Sell-in,Sales realized by company to our retailers/wholesales (all customers),fashion,,,,
Sell-out,Sales realized by our customers to our end consumers,fashion,,,,
Senior Vice President,,fashion,,,,
Service Level Agreement,"Service Level Agreement (SLA) is an agreement, normally in the form of a document accompanying a contract that specifies the level of services you will get within the agreement",fashion,,,,
Shop in shop,"A Shop in shop is a shop within a store (department store or independent multibrand store). Dedicated area to a particular brand (Tommy Hilfiger/Calvin Klein) that consists of branded fixtures, branded logos, branded mannequins, etc.",fashion,,,,
Showroom,Showroom is a space in which people are encouraged to look at the goods that are on sale before buying them,fashion,,,,
Shrinkage,Shrinkage may refer to the amount of inventory unaccounted for at the time of the stock take,fashion,,,,
Sketch review,"Sketch Review is the milestone during which Design and Merchandising teams agree on sketch-level the collection build up. Concretely, they decide which styles and options to put into work at the vendors as prototypes.",fashion,,,,
Social media penetration,Social Media Penetration is average interactions per post per 1000 followers,fashion,,,,
Sourcing and operations dept,Sourcing and operations dept is the name given to the central supply chain department,fashion,,,,
Special Make-Up,a Special Make-up is a style especially created for a sepecific country/regional need,fashion,,,,
Spring,"Spring is the season that corresponds to the 3 product drops in the months of February, March and April",fashion,,,,
Square Meters,"Square Meters is the unit of measure in which the size of a store and its different floor space usages (stockroom, netsales etc.) are measured",fashion,,,,
Staff Turnover,Staff Turnover is the rate at which employees choose to leave the company,fashion,,,,
Standard Operating Procedure,"A standard operating procedure, or SOP, is a set of step-by-step instructions compiled by an organization to help workers carry out complex routine operations. SOPs aim to achieve efficiency, quality output and uniformity of performance, while reducing miscommunication and failure to comply with industry regulations.",fashion,,,,
Steering committee,"A steering committee is a committee that provides guidance, direction and control to a project within an organization, for example for the priorities or order of business of Speed360",fashion,,,,
"Stock Keeping Unit, SKU","A stock keeping unit is an item, a style in a specific color option and size, as can be traded and stored. An SKU is for internal use only and is unique to a company. SKU's are internally generated",fashion,,,,
"Stock Transfer Orders, STO",Stock Transfer Orders are store orders in SAP FMS (retail orders),fashion,,,,
Stock turn/Days inventory outstanding,The costs of goods sold (standard) divided by the average inventory over a given period of time,fashion,,,,
Store heat map,"The Store heat map Identifies areas where visitors spend the most time – attractive products, display or bottleneck",fashion,,,,
Sub product Group,Sub product group is the most detailed level of the Merchandise Hierarchy describing a style,fashion,,,,
Subject Matter expert,A subject-matter expert (SME) or domain expert is a person who is an authority in a particular area or topic,fashion,,,,
Summer Pre Fall,"Summer Pre Fall is the season Corresponding to the 3 product drops in the months of May, June, July",fashion,,,,
Supply Chain,A Supply Chain is the sequence of processes involved in the production and distribution of a product,fashion,,,,
Sweater,"A sweater is a knitted garment worn on the upper body, typically with long sleeves, put on over the head",fashion,,,,
Target Stock Levels,The amount of inventory required to meet all demand.,fashion,,,,
Traffic,The number of consumers that enter (visit) a store/website in any given period,fashion,,,,
Train The Trainer,A learning technique that teaches students to be teachers themselves,fashion,,,,
Transaction,The process where the product is exchanged for money at the 'till point',fashion,,,,
Turnover,Turnover is the amount of sales taken in a particular time period,fashion,,,,
Unaided brand awareness,Unaided brand awareness is the extent to which consumers are familiar with the qualities or image of a particular brand of goods without prompting (brand recall),fashion,,,,
Unique selling point,"Unique selling point is a factor that differentiate a product from its competitors, such as the highest quality, the lowest cost or the first ever product of its kind ( what you have that competitors don’t)",fashion,,,,
Units Per Transaction,Units Per Transaction is a metric used to measure the average number of items purchased by customers within a transaction. Calculation: Total Store Unit Sales/Total Store Transactions,fashion,,,,
"Universal Product Code, UPC","The UPC code is affixed to a product (often through a barcode) wherever it is sold, remaining a constant throughout the product’s shelf life. Since an SKU is unique to the company, the same product would have different SKUs if sold by different companies, but they would have the same UPC. UPCs are 12 digits, numeric only. UPCs are purchased.",fashion,,,,
Up-sell,"Revenue amount from online orders picked up in store, where additional items were added to the order",business,,,,
User Experience,"User Experience (UX) refers to a person's emotions and attitudes about using a particular product, system or service. It includes the practical, experiential, affective, meaningful and valuable aspects of human–computer interaction and product ownership",tech,,,,
Value Added Services,"Value Added Services refer to additional warehouse services other than loading, unloading, storing, retrieving and packaging, such as labeling, ironing, etc.",fashion,,,,
Vendor Master Data,Vendor Master Data is the critical data of an organization that is used as a single point of reference regarding Vendors,fashion,,,,
Vendor Matrix,The Vendor Matrix is a reference list for all accredited vendors per product category and stores all performance related information for each vendor in one place,business,,,,
Video Conference,"Video Conference is a meeting held with different parties on different locations, using a video conferencing system",fashion,,,,
Virtual Reality,Virtual reality (VR) is a computer-generated scenario that simulates a realistic experience,tech,,,,
Visual Merchandising,Visual merchandising is the practice in the retail industry of developing floor plans and three-dimensional displays in order to maximize sales,fashion,,,,
Volume Driver,"A Volume Driver is a product with potential to strong commercial success (i.e., future bestseller)",fashion,,,,
Week to Date,Week to Date refers to the results at a particular day from the start of the trading week,fashion,,,,
Wholesale,Wholesale is the sales of goods to customers whose stores are not owned and operated by the company,fashion,,,,
Window conversion,Window conversion is Conversion from visit to order for visitors who have viewed the store window display.,fashion,,,,
Womenswear,,fashion,,,,
Work in Progress,Work in progress is an expression that can be used to describe all types of human activities that have started but not yet been finished,fashion,,,,
Year on/over Year,Year on Year is a comparison of a performance/result with the same data for the previous year,fashion,,,,
Year to Date,"Year-to-date (YTD) is a period, starting from the beginning of the current year (either the calendar year or fiscal year) and continuing up to the present day and is used to represent the results at a particular day from the start of the current financial year",fashion,,,,
,,,,,,
Repository,,tech,,,,
Front-End Development,Programming involved with user interaction,tech,,,,
Back-End Development,Programming involved with server ,tech,,,,
Dev Ops,,tech,,,,
Fabric and trim sourving,,,,,,
Golang,Type of back-end programming language,tech,,,,
Dynamic Showroom ,,tech,,,,
GIT,Typ of code repository,tech,,,,
JavaScript,,tech,,,,
.NET,,tech,,,,
,,,,,,
post-mortem,Meeting after critical outage,tech,,"regretrospective, blame storming",,
Windows Communication Foundation,,tech,WCF,,,
blue green deployment,Blue-green deployment is a technique that reduces downtime and risk by running two identical production environments called Blue and Green.,tech,,,,
,,,,,,
Growth margin,,business,,,,
Forecast,,business,,,,
Actuals,,business,,,,
OPEX,,business,,,,
CAPEX,,business,,,,
Sundry Costs,"Sundry expenses are costs incurred for small things which can not be categorized under a specific heading. They are usually infrequent, considerably low, miscellaneous in nature & are not classified under a specific ledger account.",business,,,,
cashflow,,business,,,,
SG&A,"Selling, General and Administrative Expenses",business,,,,
Costs of Reveniews,,business,,,,
Gross Profit,,business,,,,
Amortization,"Paying off an amount owed over time by making planned, incremental payments of principal and interest",business,,,,
EBITDA,"Earnings before interest, tax, depreciation and amortization",business,,,,
EBIT,,business,,,,
"PNL, P&L",Profiter & Loss,business,,,,
advertising orders,An order of typically a single item to use (internally) for a photo shoot,business,,,,
Value Chain,,business,,,,
Fashion Value Chain ,,fashion,,,,
Trunk Show,,fashion,,,,
income statement,aka profit loss,fashion,,,,
like for like sales,,fashion,,,,
buying cycle,,fashion,,,,
comp shopping,"Competor shopping,. knowing what to do in the market",fashion,,,,
trend forecasfting,,fashion,,,,
customer profiling,Source of information for buyer,fashion,,,,
open-to-market,,fashion,,,,
open-to-buy (OTB),Total budget a buyer has for a season that will enable them to reach sales target.,fashion,,,,
Fashion Ceremony,https://www.forbes.com/sites/forbesagencycouncil/2019/01/11/the-selling-ceremony-has-gone-obsolete-what-now/,fashion,,,,
pure players,s a company with products or services that are only digital.,fashion,,,,
in-season,when you buy inside a season,fashion,,,,
Bread and Butter,When buying - the thing that one depends on for one's income or livelihood,fashion,,,,
Free Cash Flow,Cash flow from operations less capital expenditures. ,fashion,,,,
GAAP ,generally accepted accounting principles,fashion,,,,
CAC,Cost to acquire a customer,fashion,,,,
Attainment,percentage of total sales capacity that is actually generated by sales reps,fashion,,,,
MRR,monthly recurring revenue,fashion,,,,
ready-to-wear collection,"""off-the-rack"" or ""off-the-peg"" in casual use) is the term for factory-made clothing, sold in finished condition in standardized sizes, as distinct from made-to-measure or bespoke clothing tailored to a particular person's frame. Off-the-peg is sometimes used for items other than clothing such as handbags.",fashion,,,,
fiducirary responsibility,,fashion,,,,
data type,,tech,,,,
boolean,,tech,,,,
TOGAF,The Open Group Architecture Framework,,,,,
Active Directory,A directory service developed by Microsoft for Windows domain networks.,tech,AD,,,
Microservice Architecture,,tech,,,,
Sales Director,,tech,SD,,,
Domain Driven Design,,tech,DDD,,,
Conways Law,Organizations design systems that mirror their own communication structure.,tech,,,,
Standardized Information Gathering,"SIG was developed by Shared Assessments and is a holistic tool for risk management assessments of cybersecurity, IT, privacy, data security, and business resiliency. ",tech,,,,
grpc,Remote Procedure Call,tech,,,,
RPC,Remote Procedure Call,tech,,,,
order line,"It refers to a ""Purchase Order"" which typically consists of one or more lines, called ""Order Lines"".",tech,,,,
LDAP,"Directory Access Protocol. As the name suggests, it is a lightweight client-server protocol for accessing directory services",tech,,,,
SIG,Standardized Information Gathering (security),tech,,,,
